GOID	term	gene	geneSetSize
GO:0036001	'DE NOVO' PYRIDOXAL 5'-PHOSPHATE BIOSYNTHETIC PROCESS	SNO1	1
GO:0006074	(1->3)-BETA-D-GLUCAN METABOLIC PROCESS	GAS5	1
GO:0006077	(1->6)-BETA-D-GLUCAN METABOLIC PROCESS	KRE9	1
GO:1900749	(R)-CARNITINE TRANSPORT	HNM1	1
GO:0044571	[2FE-2S] CLUSTER ASSEMBLY	BOL2|JAC1|NFS1	3
GO:0044572	[4FE-4S] CLUSTER ASSEMBLY	BOL1	1
GO:0019619	3,4-DIHYDROXYBENZOATE CATABOLIC PROCESS	YER010C	1
GO:1902559	3'-PHOSPHO-5'-ADENYLYL SULFATE TRANSMEMBRANE TRANSPORT	MRX21	1
GO:0061158	3'-UTR-MEDIATED MRNA DESTABILIZATION	NGR1	1
GO:0070935	3'-UTR-MEDIATED MRNA STABILIZATION	HEK2	1
GO:1902558	5'-ADENYLYL SULFATE TRANSMEMBRANE TRANSPORT	MRX21	1
GO:0034463	90S PRERIBOSOME ASSEMBLY	RRP5	1
GO:0019654	ACETATE FERMENTATION	ACS1	1
GO:0046356	ACETYL-COA CATABOLIC PROCESS	CIT1	1
GO:0006084	ACETYL-COA METABOLIC PROCESS	ERG13	1
GO:0071846	ACTIN FILAMENT DEBRANCHING	AIM7	1
GO:0051639	ACTIN FILAMENT NETWORK FORMATION	SAC6	1
GO:0030041	ACTIN FILAMENT POLYMERIZATION	ARC19|ARC35|LAS17	3
GO:0090527	ACTIN FILAMENT REORGANIZATION	TPM1	1
GO:0030037	ACTIN FILAMENT REORGANIZATION INVOLVED IN CELL CYCLE	GCS1	1
GO:0008154	ACTIN POLYMERIZATION OR DEPOLYMERIZATION	SRV2|TPM2	2
GO:0007190	ACTIVATION OF ADENYLATE CYCLASE ACTIVITY	RAS2	1
GO:0000186	ACTIVATION OF MAPKK ACTIVITY	BCK1|SSK2|SSK22|STE11	4
GO:0090268	ACTIVATION OF MITOTIC CELL CYCLE SPINDLE ASSEMBLY CHECKPOINT	MAD1	1
GO:0006637	ACYL-COA METABOLIC PROCESS	TES1	1
GO:0006146	ADENINE CATABOLIC PROCESS	AAH1	1
