"SIZE"	"ES"	"NES"	"NOM P-VAL"	"FDR Q-VAL"	"FWER P-VAL"	"RANK AT MAX"	"LEADING EDGE"	"TERM"	"SOURCE"	"GOID"
18	0.9291548	2.0379343	0	0	0	365	"tags=50%, list=2%, signal=51%"	"DEFECTIVE B3GALT6 CAUSES EDSP2 AND SEMDJL1"	"REACTOME DATABASE ID RELEASE 60"	"4420332"
18	0.9291548	2.0726025	0	0	0	365	"tags=50%, list=2%, signal=51%"	"DEFECTIVE B3GAT3 CAUSES JDSSDHD"	"REACTOME DATABASE ID RELEASE 60"	"3560801"
18	0.9291548	2.031891	0	9.20499e-06	0.001	365	"tags=50%, list=2%, signal=51%"	"DEFECTIVE B4GALT7 CAUSES EDS, PROGEROID TYPE"	"REACTOME"	"R-HSA-3560783.1"
38	0.9288573	2.308127	0	0	0	819	"tags=74%, list=5%, signal=78%"	"COLLAGEN CHAIN TRIMERIZATION"	"REACTOME"	"R-HSA-8948216.1"
38	0.9288572	2.3189037	0	0	0	819	"tags=74%, list=5%, signal=78%"	"NABA_COLLAGENS"	"MSIGDB_C2"	"NABA_COLLAGENS"
23	0.90714514	2.0792832	0	0	0	851	"tags=70%, list=6%, signal=74%"	"COLLAGEN FIBRIL ORGANIZATION"	"GOBP"	"GO:0030199"
55	0.90247786	2.4039702	0	0	0	918	"tags=67%, list=6%, signal=71%"	"COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES"	"REACTOME"	"R-HSA-1650814.3"
23	0.90109575	2.0226169	0	9.000435e-06	0.001	365	"tags=52%, list=2%, signal=53%"	"DISEASES ASSOCIATED WITH GLYCOSAMINOGLYCAN METABOLISM"	"REACTOME DATABASE ID RELEASE 60"	"3560782"
24	0.8980233	2.107769	0	0	0	686	"tags=46%, list=5%, signal=48%"	"A TETRASACCHARIDE LINKER SEQUENCE IS REQUIRED FOR GAG SYNTHESIS"	"REACTOME DATABASE ID RELEASE 60"	"1971475"
47	0.8918778	2.285613	0	0	0	813	"tags=62%, list=5%, signal=65%"	"COLLAGEN CATABOLIC PROCESS"	"GOBP"	"GO:0030574"
51	0.88587755	2.3163073	0	0	0	819	"tags=61%, list=5%, signal=64%"	"ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES"	"REACTOME DATABASE ID RELEASE 60"	"2022090"
50	0.88362384	2.3065178	0	0	0	813	"tags=60%, list=5%, signal=63%"	"COLLAGEN METABOLIC PROCESS"	"GOBP"	"GO:0032963"
63	0.88139343	2.3433568	0	0	0	997	"tags=62%, list=7%, signal=66%"	"PID_INTEGRIN1_PATHWAY"	"MSIGDB_C2"	"PID_INTEGRIN1_PATHWAY"
63	0.8813933	2.357175	0	0	0	997	"tags=62%, list=7%, signal=66%"	"BETA1 INTEGRIN CELL SURFACE INTERACTIONS"	"PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA"	"BETA1 INTEGRIN CELL SURFACE INTERACTIONS"
50	0.8786183	2.3034358	0	0	0	813	"tags=58%, list=5%, signal=61%"	"MULTICELLULAR ORGANISMAL CATABOLIC PROCESS"	"GOBP"	"GO:0044243"
73	0.87698984	2.410808	0	0	0	918	"tags=58%, list=6%, signal=61%"	"COLLAGEN FORMATION"	"REACTOME DATABASE ID RELEASE 60"	"1474290"
31	0.8743892	2.1054862	0	0	0	723	"tags=42%, list=5%, signal=44%"	"ENDODERMAL CELL DIFFERENTIATION"	"GOBP"	"GO:0035987"
32	0.87093395	2.1063323	0	0	0	1384	"tags=59%, list=9%, signal=65%"	"DEFECTIVE B3GALTL CAUSES PETERS-PLUS SYNDROME (PPS)"	"REACTOME"	"R-HSA-5083635.1"
54	0.86925274	2.2676375	0	0	0	813	"tags=56%, list=5%, signal=58%"	"MULTICELLULAR ORGANISMAL MACROMOLECULE METABOLIC PROCESS"	"GOBP"	"GO:0044259"
15	0.86893976	1.8098811	0	0.0016897913	0.452	960	"tags=53%, list=6%, signal=57%"	"CELL ADHESION MEDIATED BY INTEGRIN"	"GOBP"	"GO:0033627"
45	0.86722046	2.2059984	0	0	0	883	"tags=56%, list=6%, signal=59%"	"PID_SYNDECAN_1_PATHWAY"	"MSIGDB_C2"	"PID_SYNDECAN_1_PATHWAY"
27	0.8638064	2.0540566	0	0	0	1479	"tags=70%, list=10%, signal=78%"	"NABA_PROTEOGLYCANS"	"MSIGDB_C2"	"NABA_PROTEOGLYCANS"
193	0.86209774	2.618371	0	0	0	1304	"tags=61%, list=9%, signal=65%"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	"MSIGDB_C2"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"
39	0.8607994	2.1554255	0	0	0	1304	"tags=59%, list=9%, signal=64%"	"BETA3 INTEGRIN CELL SURFACE INTERACTIONS"	"PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA"	"BETA3 INTEGRIN CELL SURFACE INTERACTIONS"
39	0.8607992	2.124392	0	0	0	1304	"tags=59%, list=9%, signal=64%"	"PID_INTEGRIN3_PATHWAY"	"MSIGDB_C2"	"PID_INTEGRIN3_PATHWAY"
33	0.8604749	2.0923362	0	0	0	692	"tags=48%, list=5%, signal=51%"	"O-GLYCOSYLATION OF TSR DOMAIN-CONTAINING PROTEINS"	"REACTOME"	"R-HSA-5173214.1"
15	0.85921997	1.7734667	0	0.0033127877	0.758	1609	"tags=53%, list=11%, signal=60%"	"DERMATAN SULFATE PROTEOGLYCAN METABOLIC PROCESS"	"GOBP"	"GO:0050655"
59	0.8584384	2.3029308	0	0	0	813	"tags=53%, list=5%, signal=55%"	"MULTICELLULAR ORGANISM METABOLIC PROCESS"	"GOBP"	"GO:0044236"
22	0.8578028	1.9753916	0	1.403187e-05	0.002	701	"tags=41%, list=5%, signal=43%"	"BIOMINERAL TISSUE DEVELOPMENT"	"GOBP"	"GO:0031214"
18	0.85691136	1.878872	0.0015649452	0.00040148108	0.092	684	"tags=44%, list=4%, signal=46%"	"CHONDROITIN SULFATE BIOSYNTHESIS"	"REACTOME"	"R-HSA-2022870.1"
19	0.85686904	1.8418283	0	0.0008888102	0.225	684	"tags=42%, list=4%, signal=44%"	"CHONDROITIN SULFATE BIOSYNTHETIC PROCESS"	"GOBP"	"GO:0030206"
16	0.85418916	1.825264	0.0016129032	0.001254548	0.327	1294	"tags=63%, list=9%, signal=68%"	"BETA5 BETA6 BETA7 AND BETA8 INTEGRIN CELL SURFACE INTERACTIONS"	"PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA"	"BETA5 BETA6 BETA7 AND BETA8 INTEGRIN CELL SURFACE INTERACTIONS"
16	0.85418916	1.8199267	0	0.0013892986	0.365	1294	"tags=63%, list=9%, signal=68%"	"PID_INTEGRIN5_PATHWAY"	"MSIGDB_C2"	"PID_INTEGRIN5_PATHWAY"
37	0.8524651	2.1180644	0	0	0	1506	"tags=65%, list=10%, signal=72%"	"NABA_BASEMENT_MEMBRANES"	"MSIGDB_C2"	"NABA_BASEMENT_MEMBRANES"
22	0.85034156	1.9459139	0	6.002711e-05	0.01	686	"tags=41%, list=5%, signal=43%"	"CHONDROITIN SULFATE PROTEOGLYCAN BIOSYNTHETIC PROCESS"	"GOBP"	"GO:0050650"
19	0.8501098	1.8892578	0	0.00028802652	0.062	1777	"tags=63%, list=12%, signal=71%"	"EMBRYONIC DIGESTIVE TRACT DEVELOPMENT"	"GOBP"	"GO:0048566"
38	0.8496796	2.1351836	0	0	0	1303	"tags=47%, list=9%, signal=52%"	"ENDODERM FORMATION"	"GOBP"	"GO:0001706"
16	0.84964144	1.7632496	0	0.0039270977	0.825	849	"tags=44%, list=6%, signal=46%"	"SCAVENGING BY CLASS A RECEPTORS"	"REACTOME DATABASE ID RELEASE 60"	"3000480"
18	0.84861314	1.817912	0	0.0014563559	0.384	2138	"tags=83%, list=14%, signal=97%"	"NEURON RECOGNITION"	"GOBP"	"GO:0008038"
28	0.8472724	2.0224829	0	8.901528e-06	0.001	1275	"tags=61%, list=8%, signal=66%"	"REGULATION OF CARTILAGE DEVELOPMENT"	"GOBP"	"GO:0061035"
16	0.8462213	1.7994331	0	0.0020545307	0.549	1430	"tags=69%, list=9%, signal=76%"	"METANEPHRIC NEPHRON DEVELOPMENT"	"GOBP"	"GO:0072210"
17	0.844941	1.8327059	0	0.0010746566	0.284	1515	"tags=59%, list=10%, signal=65%"	"EMBRYONIC EYE MORPHOGENESIS"	"GOBP"	"GO:0048048"
23	0.8446771	1.9236984	0	9.9020974e-05	0.019	1365	"tags=61%, list=9%, signal=67%"	"LAMININ INTERACTIONS"	"REACTOME DATABASE ID RELEASE 60"	"3000157"
20	0.8441323	1.8507073	0	0.00076744804	0.194	1894	"tags=70%, list=12%, signal=80%"	"NEGATIVE REGULATION OF BMP SIGNALING PATHWAY"	"GOBP"	"GO:0030514"
46	0.841685	2.1587322	0	0	0	1503	"tags=59%, list=10%, signal=65%"	"ECM PROTEOGLYCANS"	"REACTOME DATABASE ID RELEASE 60"	"3000178"
18	0.84132475	1.8132899	0.0016260162	0.0016081183	0.43	1861	"tags=72%, list=12%, signal=82%"	"ENDOCARDIAL CUSHION MORPHOGENESIS"	"GOBP"	"GO:0003203"
40	0.84029406	2.095125	0	0	0	1891	"tags=70%, list=12%, signal=80%"	"ELASTIC FIBRE FORMATION"	"REACTOME"	"R-HSA-1566948.1"
42	0.8392333	2.130484	0	0	0	1304	"tags=45%, list=9%, signal=49%"	"ENDODERM DEVELOPMENT"	"GOBP"	"GO:0007492"
18	0.83894414	1.8415874	0	0.00089858135	0.229	1365	"tags=61%, list=9%, signal=67%"	"MET ACTIVATES PTK2 SIGNALING"	"REACTOME"	"R-HSA-8874081.1"
66	0.83858144	2.2528563	0	0	0	1384	"tags=52%, list=9%, signal=56%"	"DISEASES OF GLYCOSYLATION"	"REACTOME"	"R-HSA-3781865.1"
37	0.83822656	2.0925786	0	0	0	1087	"tags=51%, list=7%, signal=55%"	"SYNDECAN-1-MEDIATED SIGNALING EVENTS"	"PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA"	"SYNDECAN-1-MEDIATED SIGNALING EVENTS"
23	0.83807117	1.9296275	0	8.090351e-05	0.015	1861	"tags=70%, list=12%, signal=79%"	"MESENCHYME MORPHOGENESIS"	"GOBP"	"GO:0072132"
15	0.8361433	1.7633579	0	0.0039468864	0.825	1491	"tags=53%, list=10%, signal=59%"	"CELL-EXTRACELLULAR MATRIX INTERACTIONS"	"REACTOME DATABASE ID RELEASE 60"	"446353"
18	0.835225	1.7967944	0	0.002141065	0.566	1805	"tags=56%, list=12%, signal=63%"	"CALCIUM-DEPENDENT CELL-CELL ADHESION VIA PLASMA MEMBRANE CELL ADHESION MOLECULES"	"GOBP"	"GO:0016339"
21	0.8347685	1.8897305	0	0.00028679328	0.061	1661	"tags=52%, list=11%, signal=59%"	"ACTIVATION OF MATRIX METALLOPROTEINASES"	"REACTOME"	"R-HSA-1592389.1"
32	0.8339459	2.0212884	0	8.710098e-06	0.001	338	"tags=31%, list=2%, signal=32%"	"BINDING AND UPTAKE OF LIGANDS BY SCAVENGER RECEPTORS"	"REACTOME DATABASE ID RELEASE 60"	"2173782"
30	0.833797	1.9781775	0	1.4153887e-05	0.002	721	"tags=40%, list=5%, signal=42%"	"COLLAGEN DEGRADATION"	"REACTOME"	"R-HSA-1442490.3"
27	0.83322734	1.9499085	0	4.866528e-05	0.008	752	"tags=37%, list=5%, signal=39%"	"CHONDROITIN SULFATE METABOLIC PROCESS"	"GOBP"	"GO:0030204"
