"SIZE"	"ES"	"NES"	"NOM P-VAL"	"FDR Q-VAL"	"FWER P-VAL"	"RANK AT MAX"	"LEADING EDGE"	"TERM"	"SOURCE"	"GOID"
94	-0.8695712	-3.0369804	0	0	0	1037	"tags=72%, list=7%, signal=77%"	"HALLMARK_INTERFERON_ALPHA_RESPONSE"	"MSIGDB_C2"	"HALLMARK_INTERFERON_ALPHA_RESPONSE"
52	-0.8341003	-2.6797993	0	0	0	1141	"tags=65%, list=8%, signal=70%"	"INTERFERON ALPHA BETA SIGNALING"	"REACTOME DATABASE ID RELEASE 60"	"909733"
50	-0.83018	-2.612849	0	0	0	1141	"tags=66%, list=8%, signal=71%"	"CELLULAR RESPONSE TO TYPE I INTERFERON"	"GOBP"	"GO:0071357"
50	-0.83018	-2.6076517	0	0	0	1141	"tags=66%, list=8%, signal=71%"	"TYPE I INTERFERON SIGNALING PATHWAY"	"GOBP"	"GO:0060337"
16	-0.82608366	-2.0042164	0	0.0002559294	0.04	2309	"tags=94%, list=15%, signal=110%"	"TRANSLOCATION OF ZAP-70 TO IMMUNOLOGICAL SYNAPSE"	"REACTOME DATABASE ID RELEASE 60"	"202430"
53	-0.8195193	-2.6016557	0	0	0	1141	"tags=62%, list=8%, signal=67%"	"RESPONSE TO TYPE I INTERFERON"	"GOBP"	"GO:0034340"
20	-0.8132677	-2.073637	0	6.887569e-05	0.009	1474	"tags=75%, list=10%, signal=83%"	"PD-1 SIGNALING"	"REACTOME DATABASE ID RELEASE 60"	"389948"
18	-0.7939648	-1.9836457	0	0.00029582254	0.05	512	"tags=39%, list=3%, signal=40%"	"REGULATION OF RESPONSE TO INTERFERON-GAMMA"	"GOBP"	"GO:0060330"
19	-0.790559	-2.0164094	0	0.00020354378	0.031	2309	"tags=74%, list=15%, signal=87%"	"PHOSPHORYLATION OF CD3 AND TCR ZETA CHAINS"	"REACTOME DATABASE ID RELEASE 60"	"202427"
16	-0.78772086	-1.8921587	0	0.001404129	0.267	2210	"tags=63%, list=15%, signal=73%"	"CYTOCHROME COMPLEX ASSEMBLY"	"GOBP"	"GO:0017004"
64	-0.78480697	-2.5994298	0	0	0	1186	"tags=55%, list=8%, signal=59%"	"INTERFERON-GAMMA-MEDIATED SIGNALING PATHWAY"	"GOBP"	"GO:0060333"
18	-0.77162445	-1.9092804	0	0.0010880484	0.204	1315	"tags=50%, list=9%, signal=55%"	"POSITIVE REGULATION OF LEUKOCYTE APOPTOTIC PROCESS"	"GOBP"	"GO:2000108"
28	-0.770808	-2.1034343	0	6.5257664e-05	0.008	2849	"tags=79%, list=19%, signal=97%"	"BIOCARTA_PROTEASOME_PATHWAY"	"MSIGDB_C2"	"BIOCARTA_PROTEASOME_PATHWAY"
17	-0.76717365	-1.8674275	0	0.0020631365	0.386	512	"tags=35%, list=3%, signal=36%"	"REGULATION OF INTERFERON-GAMMA-MEDIATED SIGNALING PATHWAY"	"GOBP"	"GO:0060334"
16	-0.76324123	-1.8213577	0	0.003835568	0.628	2619	"tags=81%, list=17%, signal=98%"	"FORMATION OF ATP BY CHEMIOSMOTIC COUPLING"	"REACTOME"	"R-HSA-163210.2"
197	-0.76218176	-2.9976768	0	0	0	1296	"tags=55%, list=9%, signal=59%"	"HALLMARK_INTERFERON_GAMMA_RESPONSE"	"MSIGDB_C2"	"HALLMARK_INTERFERON_GAMMA_RESPONSE"
19	-0.7609424	-1.9129053	0	0.0010560746	0.196	2619	"tags=79%, list=17%, signal=95%"	"MITOCHONDRIAL ATP SYNTHESIS COUPLED PROTON TRANSPORT"	"GOBP"	"GO:0042776"
