Student,rater_1,rater_2,rater_3,rater_4,rater_5,rater_6,rater_7,rater_8,rater_9,rater_10,rater_11,rater_12
1,2,2,1,2,3,2,3,3,3,2,3,3
2,2,2,2,2,2,1,2,2,2,2,1,2
3,2,1,2,2,2,2,1,2,1,2,2,2
4,1,2,2,2,1,2,1,1,1,2,2,2
5,2,2,1,2,2,3,2,2,2,2,2,2
6,2,2,2,3,2,2,3,2,1,2,2,2
7,2,2,2,2,2,2,2,2,2,2,2,3
8,2,2,1,3,2,1,2,2,2,2,3,2
9,1,2,1,2,2,1,2,2,1,2,2,2
10,2,2,2,3,2,2,3,3,2,3,3,2
11,2,1,2,2,1,2,2,1,3,2,2,2
12,2,1,2,2,2,2,2,2,2,2,2,2
13,2,2,2,2,3,2,2,2,3,2,2,2
14,2,2,2,2,1,1,1,1,1,1,2,2
15,2,2,3,3,2,2,3,2,1,3,2,2
16,2,2,2,2,2,1,2,2,3,2,2,2
17,2,1,2,3,1,3,2,1,2,2,1,3
18,1,1,2,2,2,2,2,2,1,2,2,2
19,3,2,3,3,2,2,3,1,3,3,2,2
20,2,2,1,2,2,2,3,1,2,2,2,2
21,1,2,1,2,2,1,1,1,2,2,2,2
22,2,2,2,3,2,2,3,2,3,2,2,2
23,2,2,2,2,2,2,3,2,1,2,2,2
24,1,1,1,2,1,1,1,1,2,2,1,1
25,2,2,1,2,2,2,2,2,2,2,2,3
26,2,2,2,3,2,2,3,2,2,3,2,2
27,1,2,1,1,2,2,1,1,2,1,2,2
28,1,2,1,2,2,1,1,1,2,1,1,2
29,2,1,1,2,2,2,1,1,1,2,2,2
30,2,2,1,2,2,2,1,2,2,2,2,2
31,1,1,2,2,1,2,1,1,1,2,1,2
32,2,2,2,3,2,2,2,2,2,2,2,2
