Data Table for Weekly Deaths - The United States
Date generated: Mon Jul 24 2023 13:41:13 GMT-0400 (Eastern Daylight Time)
Geography,Date,Weekly Deaths,Death Data As Of
United States,Jul 15 2023,153,Jul 19 2023
United States,Jul  8 2023,324,Jul 19 2023
United States,Jul  1 2023,447,Jul 19 2023
United States,Jun 24 2023,531,Jul 19 2023
United States,Jun 17 2023,575,Jul 19 2023
United States,Jun 10 2023,595,Jul 19 2023
United States,Jun  3 2023,664,Jul 19 2023
United States,May 27 2023,721,Jul 19 2023
United States,May 20 2023,737,Jul 19 2023
United States,May 13 2023,820,Jul 19 2023
United States,May  6 2023,917,Jul 19 2023
United States,Apr 29 2023,1011,Jul 19 2023
United States,Apr 22 2023,1175,Jul 19 2023
United States,Apr 15 2023,1202,Jul 19 2023
United States,Apr  8 2023,1354,Jul 19 2023
United States,Apr  1 2023,1432,Jul 19 2023
United States,Mar 25 2023,1643,Jul 19 2023
United States,Mar 18 2023,1751,Jul 19 2023
United States,Mar 11 2023,1836,Jul 19 2023
United States,Mar  4 2023,1981,Jul 19 2023
United States,Feb 25 2023,2143,Jul 19 2023
United States,Feb 18 2023,2090,Jul 19 2023
United States,Feb 11 2023,2334,Jul 19 2023
United States,Feb  4 2023,2621,Jul 19 2023
United States,Jan 28 2023,2893,Jul 19 2023
United States,Jan 21 2023,3231,Jul 19 2023
United States,Jan 14 2023,3672,Jul 19 2023
United States,Jan  7 2023,3852,Jul 19 2023
United States,Dec 31 2022,3655,Jul 19 2023
United States,Dec 24 2022,3317,Jul 19 2023
United States,Dec 17 2022,3181,Jul 19 2023
United States,Dec 10 2022,3031,Jul 19 2023
United States,Dec  3 2022,2587,Jul 19 2023
United States,Nov 26 2022,2492,Jul 19 2023
United States,Nov 19 2022,2255,Jul 19 2023
United States,Nov 12 2022,2198,Jul 19 2023
United States,Nov  5 2022,2246,Jul 19 2023
United States,Oct 29 2022,2242,Jul 19 2023
United States,Oct 22 2022,2191,Jul 19 2023
United States,Oct 15 2022,2144,Jul 19 2023
United States,Oct  8 2022,2194,Jul 19 2023
United States,Oct  1 2022,2374,Jul 19 2023
United States,Sep 24 2022,2543,Jul 19 2023
United States,Sep 17 2022,2508,Jul 19 2023
United States,Sep 10 2022,2805,Jul 19 2023
United States,Sep  3 2022,2926,Jul 19 2023
United States,Aug 27 2022,3047,Jul 19 2023
United States,Aug 20 2022,3166,Jul 19 2023
United States,Aug 13 2022,3284,Jul 19 2023
United States,Aug  6 2022,3371,Jul 19 2023
United States,Jul 30 2022,3401,Jul 19 2023
United States,Jul 23 2022,3224,Jul 19 2023
United States,Jul 16 2022,2929,Jul 19 2023
United States,Jul  9 2022,2588,Jul 19 2023
United States,Jul  2 2022,2420,Jul 19 2023
United States,Jun 25 2022,2326,Jul 19 2023
United States,Jun 18 2022,2194,Jul 19 2023
United States,Jun 11 2022,2137,Jul 19 2023
United States,Jun  4 2022,2006,Jul 19 2023
United States,May 28 2022,1940,Jul 19 2023
United States,May 21 2022,1742,Jul 19 2023
United States,May 14 2022,1673,Jul 19 2023
United States,May  7 2022,1434,Jul 19 2023
United States,Apr 30 2022,1426,Jul 19 2023
United States,Apr 23 2022,1345,Jul 19 2023
United States,Apr 16 2022,1409,Jul 19 2023
United States,Apr  9 2022,1552,Jul 19 2023
United States,Apr  2 2022,1908,Jul 19 2023
United States,Mar 26 2022,2504,Jul 19 2023
United States,Mar 19 2022,3123,Jul 19 2023
United States,Mar 12 2022,4399,Jul 19 2023
United States,Mar  5 2022,6039,Jul 19 2023
United States,Feb 26 2022,8283,Jul 19 2023
United States,Feb 19 2022,11543,Jul 19 2023
United States,Feb 12 2022,15294,Jul 19 2023
United States,Feb  5 2022,18739,Jul 19 2023
United States,Jan 29 2022,20953,Jul 19 2023
United States,Jan 22 2022,21329,Jul 19 2023
United States,Jan 15 2022,19073,Jul 19 2023
United States,Jan  8 2022,15120,Jul 19 2023
United States,Jan  1 2022,11674,Jul 19 2023
United States,Dec 25 2021,10458,Jul 19 2023
United States,Dec 18 2021,10250,Jul 19 2023
United States,Dec 11 2021,9734,Jul 19 2023
United States,Dec  4 2021,8781,Jul 19 2023
United States,Nov 27 2021,7886,Jul 19 2023
United States,Nov 20 2021,7310,Jul 19 2023
United States,Nov 13 2021,7159,Jul 19 2023
United States,Nov  6 2021,7287,Jul 19 2023
United States,Oct 30 2021,7960,Jul 19 2023
United States,Oct 23 2021,8941,Jul 19 2023
United States,Oct 16 2021,9878,Jul 19 2023
United States,Oct  9 2021,11180,Jul 19 2023
United States,Oct  2 2021,12830,Jul 19 2023
United States,Sep 25 2021,14347,Jul 19 2023
United States,Sep 18 2021,15211,Jul 19 2023
United States,Sep 11 2021,15417,Jul 19 2023
United States,Sep  4 2021,15493,Jul 19 2023
United States,Aug 28 2021,14174,Jul 19 2023
United States,Aug 21 2021,12181,Jul 19 2023
United States,Aug 14 2021,9406,Jul 19 2023
United States,Aug  7 2021,6484,Jul 19 2023
United States,Jul 31 2021,4105,Jul 19 2023
United States,Jul 24 2021,2760,Jul 19 2023
United States,Jul 17 2021,1991,Jul 19 2023
United States,Jul 10 2021,1645,Jul 19 2023
United States,Jul  3 2021,1543,Jul 19 2023
United States,Jun 26 2021,1635,Jul 19 2023
United States,Jun 19 2021,1776,Jul 19 2023
United States,Jun 12 2021,2035,Jul 19 2023
United States,Jun  5 2021,2347,Jul 19 2023
United States,May 29 2021,2770,Jul 19 2023
United States,May 22 2021,3238,Jul 19 2023
United States,May 15 2021,3678,Jul 19 2023
United States,May  8 2021,4006,Jul 19 2023
United States,May  1 2021,4165,Jul 19 2023
United States,Apr 24 2021,4601,Jul 19 2023
United States,Apr 17 2021,4450,Jul 19 2023
United States,Apr 10 2021,4313,Jul 19 2023
United States,Apr  3 2021,4197,Jul 19 2023
United States,Mar 27 2021,4461,Jul 19 2023
United States,Mar 20 2021,4893,Jul 19 2023
United States,Mar 13 2021,5725,Jul 19 2023
United States,Mar  6 2021,6731,Jul 19 2023
United States,Feb 27 2021,8654,Jul 19 2023
United States,Feb 20 2021,10807,Jul 19 2023
United States,Feb 13 2021,13519,Jul 19 2023
United States,Feb  6 2021,17034,Jul 19 2023
United States,Jan 30 2021,20322,Jul 19 2023
United States,Jan 23 2021,23687,Jul 19 2023
United States,Jan 16 2021,25692,Jul 19 2023
United States,Jan  9 2021,25974,Jul 19 2023
United States,Jan  2 2021,24845,Jul 19 2023
United States,Dec 26 2020,23364,Jul 19 2023
United States,Dec 19 2020,22314,Jul 19 2023
United States,Dec 12 2020,20913,Jul 19 2023
United States,Dec  5 2020,18545,Jul 19 2023
United States,Nov 28 2020,15615,Jul 19 2023
United States,Nov 21 2020,13343,Jul 19 2023
United States,Nov 14 2020,10644,Jul 19 2023
United States,Nov  7 2020,8754,Jul 19 2023
United States,Oct 31 2020,7019,Jul 19 2023
United States,Oct 24 2020,5990,Jul 19 2023
United States,Oct 17 2020,5195,Jul 19 2023
United States,Oct 10 2020,4813,Jul 19 2023
United States,Oct  3 2020,4240,Jul 19 2023
United States,Sep 26 2020,4296,Jul 19 2023
United States,Sep 19 2020,4273,Jul 19 2023
United States,Sep 12 2020,4618,Jul 19 2023
United States,Sep  5 2020,5010,Jul 19 2023
United States,Aug 29 2020,5739,Jul 19 2023
United States,Aug 22 2020,6374,Jul 19 2023
United States,Aug 15 2020,7248,Jul 19 2023
United States,Aug  8 2020,7848,Jul 19 2023
United States,Aug  1 2020,8285,Jul 19 2023
United States,Jul 25 2020,8229,Jul 19 2023
United States,Jul 18 2020,7166,Jul 19 2023
