Student,Grade,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09,task_10
1,2,1,1,1,1,1,1,1,1,0,0
2,2,0,1,1,1,1,1,0,1,0,0
3,2,0,0,1,0,0,0,0,1,1,1
4,3,1,1,1,1,1,1,1,1,1,1
5,3,1,1,1,1,1,1,0,1,0,0
6,3,1,1,1,1,1,1,1,1,0,1
7,4,1,1,1,1,1,1,1,1,1,1
8,4,1,1,0,1,1,1,1,1,0,0
9,4,1,1,1,1,1,1,1,1,0,1
10,5,1,1,1,0,1,1,1,1,0,0
11,5,1,1,1,1,1,1,1,1,0,1
12,6,1,1,1,0,1,1,1,1,1,1
13,6,1,1,1,1,1,1,1,1,1,1
14,6,1,1,1,1,1,1,1,1,1,1
15,6,1,1,1,1,1,1,1,1,0,0
16,2,1,1,1,1,1,1,1,1,0,0
17,3,1,1,0,1,1,1,0,0,0,0
18,4,0,1,0,1,1,1,1,1,0,0
19,5,1,1,1,0,1,1,1,1,0,1
20,6,1,1,1,1,0,1,1,1,1,1
21,6,0,1,0,1,1,1,0,0,0,0
22,2,1,1,1,1,1,1,1,1,0,0
23,3,1,1,1,1,1,1,1,1,0,0
24,3,1,1,1,1,1,1,1,1,0,1
25,3,1,1,1,1,1,1,1,1,0,1
26,4,1,1,1,1,1,1,1,1,0,0
27,4,1,1,1,1,1,1,0,1,0,0
28,4,1,1,1,1,0,1,1,1,0,0
29,5,1,0,1,1,0,1,1,1,0,0
30,5,1,1,1,1,1,1,1,1,0,1
31,6,1,1,1,1,0,1,1,1,0,0
32,6,1,0,1,1,1,1,1,1,0,0
33,2,1,1,1,1,1,1,1,1,0,0
34,2,1,1,1,1,1,1,1,1,0,0
35,2,1,1,1,0,0,1,1,1,0,0
36,2,1,1,1,1,1,1,0,1,0,0
37,2,1,1,1,1,1,1,1,1,0,0
38,2,1,1,0,1,1,1,0,1,0,0
39,2,1,0,1,0,1,1,0,1,0,1
40,2,1,1,1,1,0,1,1,1,1,0
41,3,1,1,1,1,1,1,1,1,0,1
42,3,1,1,1,1,0,1,1,1,0,0
43,3,1,0,1,0,1,1,1,1,1,1
44,3,1,1,0,0,0,1,0,1,0,0
45,3,1,0,1,0,1,1,1,1,0,1
46,3,1,0,0,0,1,1,0,1,1,1
47,3,1,0,1,1,1,1,1,1,0,0
48,3,1,0,1,0,1,1,0,1,0,1
49,3,1,0,1,1,1,1,1,1,0,1
50,4,1,0,1,0,0,1,1,1,0,0
51,4,1,1,1,0,0,1,1,1,0,1
52,4,1,1,1,1,1,1,0,1,0,0
53,4,1,0,1,0,1,1,1,1,0,0
54,4,1,0,1,1,1,1,1,1,1,0
55,4,1,1,1,0,0,1,1,1,0,1
56,4,1,1,1,1,1,1,1,1,0,0
57,4,1,1,1,0,1,1,1,1,0,0
58,4,1,1,0,1,0,1,0,1,0,0
59,5,1,1,1,1,1,1,1,1,0,0
60,5,1,0,1,1,1,1,1,1,1,1
61,5,1,1,1,0,1,1,1,1,0,0
62,5,1,0,1,1,1,1,1,1,0,0
63,5,1,0,1,0,1,1,1,1,1,1
64,5,1,1,0,1,1,1,1,1,0,0
65,6,1,0,1,0,1,1,1,1,0,1
66,6,1,1,1,1,1,1,1,1,0,0
67,6,1,1,1,1,1,1,1,1,1,1
68,6,1,1,1,0,1,1,1,1,1,1
69,6,1,1,1,1,1,1,1,1,0,0
70,6,1,1,1,0,1,1,1,1,0,1
71,2,1,1,1,1,1,1,1,1,1,0
72,2,1,1,1,1,1,1,0,1,0,0
73,3,1,1,1,1,1,1,1,1,1,1
74,3,1,0,1,1,1,1,1,1,1,1
75,3,1,1,1,0,0,1,1,1,0,1
76,3,1,1,1,0,1,1,1,1,1,1
77,4,1,1,1,0,1,1,1,1,1,1
78,4,1,1,1,1,1,1,0,1,1,0
79,4,1,1,1,1,1,1,1,1,1,1
80,4,1,1,1,1,1,1,1,1,1,1
81,5,1,1,1,0,1,1,1,1,0,0
82,5,1,1,1,1,1,1,1,1,0,0
83,5,1,1,1,1,1,1,1,1,0,1
84,5,1,1,1,1,1,1,1,1,1,0
85,5,1,0,1,1,1,1,1,1,0,1
86,6,1,1,1,1,1,1,1,1,0,1
87,6,1,1,1,1,1,1,1,1,0,1
88,6,1,1,1,1,1,1,1,1,1,1
89,6,1,1,0,1,0,1,1,1,1,1
